"place","fabricType","item","catalogueRef","date","weave","warp","warpTwist","warpFleeceType","weft","weftTwist","weftFleeceType","observableColour","dyeStuff__001","dyeStuff__002","note","source__author__001","source__author__002","source__author__003","source__author__004","source__author__005","source__year","source__title"
"York","Wool","Textile Fragment","1257","850-900","Tabby","4","Z","Hairy","3","S","Hairy","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1258","850-900","Tabby","6","Z","Hairy","5","S","Generalised Medium","Dark Brown","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1259","850-900","Tabby","12","Z","Hairy","8","S","Hairy Medium","Black","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1260","850-900","Tabby","12","Z","Medium","6","S","Undetermined","Dark Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1261","850-900","Tabby","15","Z","","9","S","","Fawn","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1262","850-900","Tabby","18","Z","Medium","11","S","Medium","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1263","850-900","2/2 twill","11","Z","Medium","11","S","Medium","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1264","850-900","2/2 chevron twill","18","Z","Hairy Medium","11","S","Hairy","Mottled Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1265","850-900","2/2 twill","12","Z","Medium","10","S","Medium","","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1266","850-900","2/2 twill","14","Z","","12","S","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1267","850-900","2/2 chevron twill","14","Z","Hairy","10","S","Hairy","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1268","850-900","2/2 diamond twill","12","Z","","10","S","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1272","850-900","Tabby","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1272","850-900","Tabby","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1273","850-900","2/2 twill","9","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1279","900-935","2/2 chevron twill","13","Z","","13","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1281","900-935","Tabby","20","I","","20","I","","Mid Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1282","900-935","Tabby","20","Z","","24","I","","Golden Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1295","935-975","Tabby","5","Z","Hairy","4","S","Hairy","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1296","935-975","Tabby","3","S","","3","S","","Grey Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1297","935-975","Tabby","4","Z","Medium","3","S","Hairy Medium","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1298","935-975","Tabby","6","Z","","4","S","","Grey Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1299","935-975","Tabby","14","Z","","8","S","","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1300","935-975","Tabby","14","Z","Genralised Medium","7","S","Hairy","Light Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1301","935-975","2/2 twill","14","Z","","12","S","","Red","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1302","935-975","2/2 chevron twill","8","Z","Medium","5","S","Hairy","Mid Brown","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1303","935-975","2/2 chevron twill","10","Z","Hairy","6","S","Hairy Medium","Warp Dark,Weft Light","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1304","935-975","Kreuzköper","10","Z","Hairy","8","S","Hairy Medium","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1305","935-975","2/2 chevron twill","16","Z","Genralised Medium","12","S","Hairy Medium","Light Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Leg Wrap","1306","935-975","2/2 chevron twill","18","Z","Hairy Medium","16","S","Medium","Dull Red","lichen purple","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1307","935-975","2/2 diamond twill","11","Z","Hairy Medium","7","S","Hairy Medium","Light Brown","lichen purple","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1308","935-975","2/2 diamond twill","14","Z","Medium","11","S","Hairy Medium","Reddish","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Sock","1309","935-975","Naalbinding","","Z","","","S","","","madder","","Narrow band dyed with madder rest undyed.","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1317","935-975","Tabby","5","Z","","5","S","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1318","935-975","Tabby","5","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1319","935-975","Tabby","7","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1320","935-975","Tabby","8","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1321","935-975","Tabby","10","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1322","935-975","Tabby","12","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1323","935-975","Tabby","12","Z","","10","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1323","935-975","Tabby","12","Z","","10","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1324","935-975","Tabby","12","Z","","11","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1325","935-975","Tabby","13","Z","","9","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1326","935-975","Tabby","14","Z","","12","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1327","935-975","Tabby","18","Z","","10","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1328","935-975","Tabby","20","Z","","13","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1329","935-975","Tabby","24","Z","","18","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1330","935-975","Tabby","20","Z","","18","Z","","Mineralised Grey","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1331","935-975","2/1 twill","11","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1332","935-975","2/2 twill","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1333","935-975","2/1 chevron twill","11","Z","","9","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1334","935-975","2/2 chevron twill","11","Z","","9","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1335","935-975","2/2 chevron twill","13","Z","","9","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1336","935-975","Honeycomb","15","Z","","15","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1341","935-975","Tabby","18","Z","","20","I","","Golden Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1342","935-975","Tabby","18","Z","","23","I","","Dark Brown","kermes","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1343","935-975","Tabby","20","Z","","22","I","","Golden Brown","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1344","935-975","Tabby","20","Z","","24","I","","Light Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Cap","1345","935-975","Tabby","24","Z","","20","I","","Light Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1346","935-975","Tabby","24","Z","","14","Z","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1347","935-975","Tabby","24","Z","","34","I","","Brown","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1348","935-975","Tabby","30","Z","","16","Z","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1349","935-975","Tabby","28","I","","20","I","","Red Brown","madder","lichen purple","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1350","935-975","Tabby","24","Z","","14","I","","Red","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1351","935-975","Tabby","40","I","","24","I","","","untested","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1352","935-975","Tabby","60","Z","","10","Z","","Reddish Brown","madder","lichen purple","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1353","935-975","Tabby","56","S","","26","S","","Light Brown","untested","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1354","935-975","Tabby","56","S","","20","S","","","untested","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1355","935-975","Tabby","48","S","","30","S","","Mid Brown","kermes","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1363","975","Tabby","5","Z","","5","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1364","975","Tabby","8","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1365","975","Tabby","8","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1366","975","Tabby","14","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1367","975","Tabby","14","Z","","16","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1368","975","Tabby","16","Z","","16","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1369","975","Tabby","14","Z","","12","Z","","Grey","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1371","975","Tabby","16","Z","","34","Z","","Mid Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Head Dress","1372","975","Tabby","24","Z","","19","I","","Golden Brown","untested","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1379","975-1050","2/2 twill","7","Z","","5","S","","Red","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1380","975-1050","2/2 diamond twill","15","Z","","11","S","","Grey Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1381","975-1050","2/2 diamond twill","14","Z","","11","S","","Reddish Grey","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1382","975-1050","2/2 diamond twill","22","Z","","12","S","","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1388","975-1050","Tabby","24","Z","","20","Z","","Greyish White","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1389","975-1050","Tabby","13","Z","","11","Z","","Grey Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Shirt","1390","975-1050","Tabby","22","Z","","18","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1391","975-1050","Tabby","10","Z","","6","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1392","975-1050","Tabby","10","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1393","975-1050","Tabby","17","Z","","10","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1394","975-1050","Tabby","14","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1395","975-1050","Tabby","20","Z","","16","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1396","975-1050","Tabby","16","Z","","14","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1397","975-1050","Tabby","8","Z","","5","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1398","975-1050","Tabby","20","Z","","15","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1399","975-1050","Tabby","20","Z","","20","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1400","975-1050","Tabby","26","Z","","28","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1401","975-1050","Tabby","22","Z","","20","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1402","975-1050","Tabby","13","Z","","11","Z","","Grey","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1403","975-1050","2/2 twill","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1404","975-1050","2/2 diamond twill","15","Z","","13","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Silk","Textile Fragment","1407","975-1050","Tabby","42","S","","32","S","","Red Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1411","700-1100","Tabby","12","Z","","8","S","","Grey","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1460","700-1100","Tabby","5","Z","Hairy","5","S","Hairy","Mid Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1462","700-1100","2/2 twill","9","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"Kingston Down","Wool","Textile Fragment","Liverpool Museum 6188","450-1100","2/2 twill","14","Z","","12","S","","","","","","Coatsworth,E","Fitzgerald,M","","","","1998","Anglo-Saxon Textiles in the Mayer/Faussett Collection"
"Sibertswold Down","Wool","Textile Fragment","Liverpool Museum AS 14","450-1100","Tabby","5","Z","","6","Z","","","","","","Coatsworth,E","Fitzgerald,M","","","","1998","Anglo-Saxon Textiles in the Mayer/Faussett Collection"
"unknown","Veg","Textile Fragment","Liverpool Museum AS 9","450-1100","Tabby","18","Z","","18","Z","","","","","","Coatsworth,E","Fitzgerald,M","","","","1998","Anglo-Saxon Textiles in the Mayer/Faussett Collection"
"unknown","Wool","Textile Fragment","Liverpool Museum AS 9","450-1100","2/2 chevron twill","6","S","","7","Z","","","","","","Coatsworth,E","Fitzgerald,M","","","","1998","Anglo-Saxon Textiles in the Mayer/Faussett Collection"
"unknown","Wool","Textile Fragment","Liverpool Museum AS 8","450-1100","2/2 chevron twill","9","Z","","5","Z","","","","","","Coatsworth,E","Fitzgerald,M","","","","1998","Anglo-Saxon Textiles in the Mayer/Faussett Collection"
"London","Wool","Textile Fragment","1","850-1100","Tabby","6","Z","Hairy","4","S","Hairy Medium","","untested","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","2","850-1100","Tabby","10","Z","Hairy Medium","10","S","Generalised Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","3","850-1100","Tabby","6","Z","Hairy","4","S","Medium","","madder","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","4","850-1100","Tabby","3","Z","Hairy","5","Z","Hairy Medium","","madder","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","5","850-1100","Tabby","3","Z","Generalised Medium","6","Z","Generalised Medium","","untested","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","6","850-1100","Tabby","3","Z","Fine Generalised Medium","5","Z","Fine Generalised Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","8","850-1100","Tabby","5","Z","Hairy Medium","3","S","Hairy","","madder","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","9","850-1100","Tabby","13","Z","","13","Z","","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","10","850-1100","2/2 lozenge twill","11","Z","Generalised Medium","9","S","Generalised Medium","","madder","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","11","850-1100","2/2 lozenge twill","11","Z","Hairy Medium","10","S","Hairy Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","12","850-1100","2/2 lozenge twill","11","Z","Hairy Medium","9","S","Hairy Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","13","850-1100","2/2 lozenge twill","14","Z","Hairy Medium","10","S","Hairy Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","14","850-1100","2/2 lozenge twill","13","Z","","13","S","","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","15","850-1100","2/2 lozenge twill","9","Z","Hairy Medium","6","S","Generalised Medium","","none","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
"London","Wool","Textile Fragment","16","850-1100","2/2 lozenge twill","11","Z","Hairy Medium","11","S","Hairy Medium","","indigotin","","","Pritchard,F. A","","","","","1984","Late Saxon Textiles from the City of London"
